"Titre de tracé : 20347223"
"Date";"Heure, GMT+02:00";"Temp., °C (LGR S/N: 20347223, SEN S/N: 20347223)";"Coupleur attaché (LGR S/N: 20347223)";"Hôte connecté (LGR S/N: 20347223)";"Arrêté (LGR S/N: 20347223)";"Fin de fichier (LGR S/N: 20347223)"
2022-07-28;12:31:50;22,908;;;;
2022-07-28;12:32:00;23,292;;;;
2022-07-28;12:32:10;23,388;;;;
2022-07-28;12:32:20;23,581;;;;
2022-07-28;12:32:30;23,484;;;;
2022-07-28;12:32:40;23,581;;;;
2022-07-28;12:32:50;23,388;;;;
2022-07-28;12:33:00;23,292;;;;
2022-07-28;12:33:10;23,196;;;;
2022-07-28;12:33:20;23,292;;;;
2022-07-28;12:33:30;23,581;;;;
2022-07-28;12:33:40;23,677;;;;
2022-07-28;12:33:50;23,966;;;;
2022-07-28;12:34:00;23,966;;;;
2022-07-28;12:34:10;24,158;;;;
2022-07-28;12:34:20;24,351;;;;
2022-07-28;12:34:30;24,448;;;;
2022-07-28;12:34:40;23,484;;;;
2022-07-28;12:34:50;22,812;;;;
2022-07-28;12:35:00;22,333;;;;
2022-07-28;12:35:10;22,333;;;;
2022-07-28;12:35:20;22,525;;;;
2022-07-28;12:35:30;23,004;;;;
2022-07-28;12:35:40;22,908;;;;
2022-07-28;12:35:50;22,621;;;;
2022-07-28;12:36:00;22,333;;;;
2022-07-28;12:36:10;22,142;;;;
2022-07-28;12:36:20;21,951;;;;
2022-07-28;12:36:30;21,951;;;;
2022-07-28;12:36:40;21,951;;;;
2022-07-28;12:36:50;21,855;;;;
2022-07-28;12:37:00;21,473;;;;
2022-07-28;12:37:10;21,282;;;;
2022-07-28;12:37:20;21,091;;;;
2022-07-28;12:37:30;20,901;;;;
2022-07-28;12:37:40;20,805;;;;
2022-07-28;12:37:50;20,805;;;;
2022-07-28;12:38:00;20,805;;;;
2022-07-28;12:38:10;20,805;;;;
2022-07-28;12:38:20;20,805;;;;
2022-07-28;12:38:30;20,710;;;;
2022-07-28;12:38:40;20,710;;;;
2022-07-28;12:38:50;20,615;;;;
2022-07-28;12:39:00;20,615;;;;
2022-07-28;12:39:10;20,519;;;;
2022-07-28;12:39:20;20,329;;;;
2022-07-28;12:39:30;20,329;;;;
2022-07-28;12:39:40;20,234;;;;
2022-07-28;12:39:50;20,138;;;;
2022-07-28;12:40:00;20,138;;;;
2022-07-28;12:40:10;20,234;;;;
2022-07-28;12:40:20;20,234;;;;
2022-07-28;12:40:30;20,234;;;;
2022-07-28;12:40:40;20,329;;;;
2022-07-28;12:40:50;20,424;;;;
2022-07-28;12:41:00;20,615;;;;
2022-07-28;12:41:10;20,519;;;;
2022-07-28;12:41:20;21,091;;;;
2022-07-28;12:41:30;21,378;;;;
2022-07-28;12:41:40;21,664;;;;
2022-07-28;12:41:50;22,238;;;;
2022-07-28;12:42:00;22,238;;;;
2022-07-28;12:42:10;22,238;;;;
2022-07-28;12:42:20;22,429;;;;
2022-07-28;12:42:30;22,333;;;;
2022-07-28;12:42:40;22,238;;;;
2022-07-28;12:42:50;22,238;;;;
2022-07-28;12:43:00;22,238;;;;
2022-07-28;12:43:10;22,238;;;;
2022-07-28;12:43:20;22,238;;;;
2022-07-28;12:43:30;22,238;;;;
2022-07-28;12:43:40;22,333;;;;
2022-07-28;12:43:50;22,333;;;;
2022-07-28;12:44:00;22,333;;;;
2022-07-28;12:44:10;22,429;;;;
2022-07-28;12:44:20;22,429;;;;
2022-07-28;12:44:30;22,908;;;;
2022-07-28;12:44:40;23,196;;;;
2022-07-28;12:44:50;23,004;;;;
2022-07-28;12:45:00;23,196;;;;
2022-07-28;12:45:10;23,292;;;;
2022-07-28;12:45:20;23,292;;;;
2022-07-28;12:45:30;23,388;;;;
2022-07-28;12:45:40;23,484;;;;
2022-07-28;12:45:50;23,581;;;;
2022-07-28;12:46:00;23,581;;;;
2022-07-28;12:46:10;23,581;;;;
2022-07-28;12:46:20;23,388;;;;
2022-07-28;12:46:30;23,196;;;;
2022-07-28;12:46:40;23,100;;;;
2022-07-28;12:46:50;23,388;;;;
2022-07-28;12:47:00;23,677;;;;
2022-07-28;12:47:10;24,255;;;;
2022-07-28;12:47:20;24,545;;;;
2022-07-28;12:47:30;24,835;;;;
2022-07-28;12:47:40;24,931;;;;
2022-07-28;12:47:50;24,738;;;;
2022-07-28;12:48:00;24,835;;;;
2022-07-28;12:48:10;24,738;;;;
2022-07-28;12:48:20;24,738;;;;
2022-07-28;12:48:30;24,835;;;;
2022-07-28;12:48:40;24,448;;;;
2022-07-28;12:48:50;24,545;;;;
2022-07-28;12:49:00;24,545;;;;
2022-07-28;12:49:10;24,641;;;;
2022-07-28;12:49:20;24,641;;;;
2022-07-28;12:49:30;24,641;;;;
2022-07-28;12:49:40;24,641;;;;
2022-07-28;12:49:50;24,448;;;;
2022-07-28;12:50:00;24,158;;;;
2022-07-28;12:50:10;24,062;;;;
2022-07-28;12:50:20;23,869;;;;
2022-07-28;12:50:30;23,966;;;;
2022-07-28;12:50:40;24,255;;;;
2022-07-28;12:50:50;23,581;;;;
2022-07-28;12:51:00;23,100;;;;
2022-07-28;12:51:10;22,621;;;;
2022-07-28;12:51:20;22,333;;;;
2022-07-28;12:51:30;22,142;;;;
2022-07-28;12:51:40;22,142;;;;
2022-07-28;12:51:50;22,525;;;;
2022-07-28;12:52:00;22,812;;;;
2022-07-28;12:52:10;22,429;;;;
2022-07-28;12:52:20;22,333;;;;
2022-07-28;12:52:30;22,333;;;;
2022-07-28;12:52:40;22,238;;;;
2022-07-28;12:52:50;22,238;;;;
2022-07-28;12:53:00;22,238;;;;
2022-07-28;12:53:10;22,333;;;;
2022-07-28;12:53:20;22,333;;;;
2022-07-28;12:53:30;22,333;;;;
2022-07-28;12:53:40;22,333;;;;
2022-07-28;12:53:50;22,238;;;;
2022-07-28;12:54:00;22,333;;;;
2022-07-28;12:54:10;22,429;;;;
2022-07-28;12:54:20;22,525;;;;
2022-07-28;12:54:30;22,621;;;;
2022-07-28;12:54:40;22,429;;;;
2022-07-28;12:54:50;22,717;;;;
2022-07-28;12:55:00;22,525;;;;
2022-07-28;12:55:10;22,717;;;;
2022-07-28;12:55:20;22,717;;;;
2022-07-28;12:55:30;22,812;;;;
2022-07-28;12:55:40;22,621;;;;
2022-07-28;12:55:50;22,429;;;;
2022-07-28;12:56:00;22,812;;;;
2022-07-28;12:56:10;22,812;;;;
2022-07-28;12:56:20;22,333;;;;
2022-07-28;12:56:30;22,046;;;;
2022-07-28;12:56:40;21,855;;;;
2022-07-28;12:56:50;21,760;;;;
2022-07-28;12:57:00;21,664;;;;
2022-07-28;12:57:10;21,664;;;;
2022-07-28;12:57:20;21,569;;;;
2022-07-28;12:57:30;21,569;;;;
2022-07-28;12:57:40;22,142;;;;
2022-07-28;12:57:50;22,333;;;;
2022-07-28;12:58:00;22,621;;;;
2022-07-28;12:58:10;22,429;;;;
2022-07-28;12:58:20;22,525;;;;
2022-07-28;12:58:30;22,717;;;;
2022-07-28;12:58:40;22,908;;;;
2022-07-28;12:58:50;23,484;;;;
2022-07-28;12:59:00;23,484;;;;
2022-07-28;12:59:10;23,388;;;;
2022-07-28;12:59:20;23,196;;;;
2022-07-28;12:59:30;23,196;;;;
2022-07-28;12:59:40;23,388;;;;
2022-07-28;12:59:50;23,196;;;;
2022-07-28;13:00:00;23,100;;;;
2022-07-28;13:00:10;22,908;;;;
2022-07-28;13:00:20;23,196;;;;
2022-07-28;13:00:30;23,677;;;;
2022-07-28;13:00:40;23,292;;;;
2022-07-28;13:00:50;23,004;;;;
2022-07-28;13:01:00;23,100;;;;
2022-07-28;13:01:10;23,196;;;;
2022-07-28;13:01:20;23,100;;;;
2022-07-28;13:01:30;23,388;;;;
2022-07-28;13:01:40;23,292;;;;
2022-07-28;13:01:50;23,292;;;;
